subjectN,runN,trialN,contextRole,cueId,contextId,isSick,corrButton,isTest,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,stimOffset,itiOffset,food,restaurant
11,3,0,modulatory,0,0,True,1,False,3,1,1,1.0,10,15.0,16.0,french_food2.png,Chez Toinette
11,3,1,modulatory,0,1,False,2,False,3,1,1,3.0,16.0,21.0,24.0,french_food2.png,Le Parisien
11,3,2,modulatory,1,0,False,2,False,3,1,1,1.0,24.0,29.0,30.0,french_food1.png,Chez Toinette
11,3,3,modulatory,0,0,True,1,False,3,1,1,1.0,30.0,35.0,36.0,french_food2.png,Chez Toinette
11,3,4,modulatory,0,0,True,1,False,3,1,1,1.0,36.0,41.0,42.0,french_food2.png,Chez Toinette
11,3,5,modulatory,1,1,True,1,False,3,1,1,3.0,42.0,47.0,50.0,french_food1.png,Le Parisien
11,3,6,modulatory,0,0,True,1,False,3,1,1,3.0,50.0,55.0,58.0,french_food2.png,Chez Toinette
11,3,7,modulatory,1,1,True,1,False,3,1,1,1.0,58.0,63.0,64.0,french_food1.png,Le Parisien
11,3,8,modulatory,1,0,False,2,False,3,1,1,1.0,64.0,69.0,70.0,french_food1.png,Chez Toinette
11,3,9,modulatory,1,1,True,1,False,3,1,1,1.0,70.0,75.0,76.0,french_food1.png,Le Parisien
11,3,10,modulatory,0,1,False,2,False,3,1,1,1.0,76.0,81.0,82.0,french_food2.png,Le Parisien
11,3,11,modulatory,0,1,False,2,False,3,1,1,1.0,82.0,87.0,88.0,french_food2.png,Le Parisien
11,3,12,modulatory,1,0,False,2,False,3,1,1,5.0,88.0,93.0,98.0,french_food1.png,Chez Toinette
11,3,13,modulatory,0,1,False,2,False,3,1,1,5.0,98.0,103.0,108.0,french_food2.png,Le Parisien
11,3,14,modulatory,0,1,False,2,False,3,1,1,1.0,108.0,113.0,114.0,french_food2.png,Le Parisien
11,3,15,modulatory,0,0,True,1,False,3,1,1,3.0,114.0,119.0,122.0,french_food2.png,Chez Toinette
11,3,16,modulatory,1,1,True,1,False,3,1,1,1.0,122.0,127.0,128.0,french_food1.png,Le Parisien
11,3,17,modulatory,1,1,True,1,False,3,1,1,7.0,128.0,133.0,140.0,french_food1.png,Le Parisien
11,3,18,modulatory,1,0,False,2,False,3,1,1,1.0,140.0,145.0,146.0,french_food1.png,Chez Toinette
11,3,19,modulatory,1,0,False,2,False,3,1,1,3.0,146.0,151.0,154.0,french_food1.png,Chez Toinette
11,3,20,modulatory,2,2,None,None,True,6,0,0,2,158.0,164.0,166.0,french_food0.png,Au Petit Sud Ouest
11,3,21,modulatory,0,2,None,None,True,6,0,0,4,166.0,172.0,176.0,french_food2.png,Au Petit Sud Ouest
11,3,22,modulatory,0,0,None,None,True,6,0,0,6,176.0,182.0,188.0,french_food2.png,Chez Toinette
11,3,23,modulatory,2,0,None,None,True,6,0,0,0,188.0,194.0,194.0,french_food0.png,Chez Toinette
