subjectN,runN,trialN,contextRole,cueId,contextId,isSick,corrButton,isTest,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,stimOffset,itiOffset,food,restaurant
24,0,0,modulatory,1,0,False,2,False,3,1,1,1.0,10,15.0,16.0,practice_food0.png,Seven Hills
24,0,1,modulatory,0,1,False,2,False,3,1,1,1.0,16.0,21.0,22.0,practice_food2.png,Restaurant Gary Danko
24,0,2,modulatory,0,0,True,1,False,3,1,1,1.0,22.0,27.0,28.0,practice_food2.png,Seven Hills
24,0,3,modulatory,0,0,True,1,False,3,1,1,1.0,28.0,33.0,34.0,practice_food2.png,Seven Hills
24,0,4,modulatory,0,1,False,2,False,3,1,1,1.0,34.0,39.0,40.0,practice_food2.png,Restaurant Gary Danko
24,0,5,modulatory,1,1,True,1,False,3,1,1,1.0,40.0,45.0,46.0,practice_food0.png,Restaurant Gary Danko
24,0,6,modulatory,1,0,False,2,False,3,1,1,5.0,46.0,51.0,56.0,practice_food0.png,Seven Hills
24,0,7,modulatory,1,1,True,1,False,3,1,1,1.0,56.0,61.0,62.0,practice_food0.png,Restaurant Gary Danko
24,0,8,modulatory,0,1,False,2,False,3,1,1,3.0,62.0,67.0,70.0,practice_food2.png,Restaurant Gary Danko
24,0,9,modulatory,0,0,True,1,False,3,1,1,5.0,70.0,75.0,80.0,practice_food2.png,Seven Hills
24,0,10,modulatory,0,0,True,1,False,3,1,1,3.0,80.0,85.0,88.0,practice_food2.png,Seven Hills
24,0,11,modulatory,0,1,False,2,False,3,1,1,5.0,88.0,93.0,98.0,practice_food2.png,Restaurant Gary Danko
24,0,12,modulatory,1,1,True,1,False,3,1,1,1.0,98.0,103.0,104.0,practice_food0.png,Restaurant Gary Danko
24,0,13,modulatory,1,1,True,1,False,3,1,1,1.0,104.0,109.0,110.0,practice_food0.png,Restaurant Gary Danko
24,0,14,modulatory,0,0,True,1,False,3,1,1,3.0,110.0,115.0,118.0,practice_food2.png,Seven Hills
24,0,15,modulatory,1,0,False,2,False,3,1,1,5.0,118.0,123.0,128.0,practice_food0.png,Seven Hills
24,0,16,modulatory,1,0,False,2,False,3,1,1,1.0,128.0,133.0,134.0,practice_food0.png,Seven Hills
24,0,17,modulatory,1,0,False,2,False,3,1,1,1.0,134.0,139.0,140.0,practice_food0.png,Seven Hills
24,0,18,modulatory,1,1,True,1,False,3,1,1,3.0,140.0,145.0,148.0,practice_food0.png,Restaurant Gary Danko
24,0,19,modulatory,0,1,False,2,False,3,1,1,1.0,148.0,153.0,154.0,practice_food2.png,Restaurant Gary Danko
24,0,20,modulatory,2,2,None,None,True,6,0,0,6,158.0,164.0,170.0,practice_food1.png,Blue Bottle Cafe
24,0,21,modulatory,2,0,None,None,True,6,0,0,2,170.0,176.0,178.0,practice_food1.png,Seven Hills
24,0,22,modulatory,0,2,None,None,True,6,0,0,4,178.0,184.0,188.0,practice_food2.png,Blue Bottle Cafe
24,0,23,modulatory,0,0,None,None,True,6,0,0,0,188.0,194.0,194.0,practice_food2.png,Seven Hills
